idRegistration, startTime, idValueType, value
1101832, 2026-09-03T19:00:00Z, 8, 4.8
1101836, 2026-09-03T19:00:00Z, 8, 5.4
1101840, 2026-09-03T19:00:00Z, 8, 77.6
1101844, 2026-09-03T19:00:00Z, 8, 10.0
1193925, 2026-09-03T19:00:00Z, 8, 26.6
1193929, 2026-09-03T19:00:00Z, 8, 27.0
1193933, 2026-09-03T19:00:00Z, 8, 60.2
1193937, 2026-09-03T19:00:00Z, 8, 13.8
1283298, 2026-09-03T19:00:00Z, 8, 3.4
1316708, 2026-09-03T19:00:00Z, 8, 8.9
1317399, 2026-09-03T19:00:00Z, 8, 6.5
1317403, 2026-09-03T19:00:00Z, 8, 7.1
1317407, 2026-09-03T19:00:00Z, 8, 2.7
1337358, 2026-09-03T19:00:00Z, 8, 10.7
1337363, 2026-09-03T19:00:00Z, 8, 3.7
1337378, 2026-09-03T19:00:00Z, 8, 2.7
1337478, 2026-09-03T19:00:00Z, 8, 3.8
1337482, 2026-09-03T19:00:00Z, 8, 2.6
1337502, 2026-09-03T19:00:00Z, 8, 7.6
1337515, 2026-09-03T19:00:00Z, 8, 1.0
1365749, 2026-09-03T19:00:00Z, 8, 4.7
1365769, 2026-09-03T19:00:00Z, 8, 19.9
1366118, 2026-09-03T19:00:00Z, 8, 4.8
1366434, 2026-09-03T19:00:00Z, 8, 4.1
1366443, 2026-09-03T19:00:00Z, 8, 12.3
1366482, 2026-09-03T19:00:00Z, 8, 1.3
1366490, 2026-09-03T19:00:00Z, 8, 4.2
1366494, 2026-09-03T19:00:00Z, 8, 5.4
1366498, 2026-09-03T19:00:00Z, 8, 68.8
1366805, 2026-09-03T19:00:00Z, 8, 8.2
1366813, 2026-09-03T19:00:00Z, 8, 3.6
1367168, 2026-09-03T19:00:00Z, 8, 1.3
1367180, 2026-09-03T19:00:00Z, 8, 5.9
1367184, 2026-09-03T19:00:00Z, 8, 5.4
1367188, 2026-09-03T19:00:00Z, 8, 83.0
1367192, 2026-09-03T19:00:00Z, 8, 5.7
1367196, 2026-09-03T19:00:00Z, 8, 1.0
1367303, 2026-09-03T19:00:00Z, 8, 1.3
1367307, 2026-09-03T19:00:00Z, 8, 82.0
1368848, 2026-09-03T19:00:00Z, 8, 16.1
1368852, 2026-09-03T19:00:00Z, 8, 2.6
1368992, 2026-09-03T19:00:00Z, 8, 7.6
1368996, 2026-09-03T19:00:00Z, 8, 11.0
1369004, 2026-09-03T19:00:00Z, 8, 1.3
1369012, 2026-09-03T19:00:00Z, 8, 6.1
1369016, 2026-09-03T19:00:00Z, 8, 6.3
1369020, 2026-09-03T19:00:00Z, 8, 98.4
1369059, 2026-09-03T19:00:00Z, 8, 32.7
1369063, 2026-09-03T19:00:00Z, 8, 9.4
1369240, 2026-09-03T19:00:00Z, 8, 15.4
1369244, 2026-09-03T19:00:00Z, 8, 6.5
1369608, 2026-09-03T19:00:00Z, 8, 3.3
1369660, 2026-09-03T19:00:00Z, 6, -5003.0
1369672, 2026-09-03T19:00:00Z, 6, -5003.0
1369676, 2026-09-03T19:00:00Z, 6, -5003.0
1369680, 2026-09-03T19:00:00Z, 8, 8.1
